timestamp,junction_id,vehicle_count,avg_speed,weather,day_of_week,is_holiday,hour
2025-01-01 00:00:00,1,20,60.1,Clear,2,0,0
2025-01-01 00:00:00,2,16,54.3,Clear,2,0,0
2025-01-01 00:00:00,3,12,54.2,Clear,2,0,0
2025-01-01 00:00:00,4,16,49.3,Clear,2,0,0
2025-01-01 01:00:00,1,12,39.8,Light Rain,2,0,1
2025-01-01 01:00:00,2,9,42.7,Light Rain,2,0,1
2025-01-01 01:00:00,3,12,45.0,Light Rain,2,0,1
2025-01-01 01:00:00,4,14,49.1,Light Rain,2,0,1
2025-01-01 02:00:00,1,17,45.3,Cloudy,2,0,2
2025-01-01 02:00:00,2,19,49.3,Cloudy,2,0,2
2025-01-01 02:00:00,3,14,52.9,Cloudy,2,0,2
2025-01-01 02:00:00,4,19,46.9,Cloudy,2,0,2
2025-01-01 03:00:00,1,20,55.5,Cloudy,2,0,3
2025-01-01 03:00:00,2,17,66.7,Cloudy,2,0,3
2025-01-01 03:00:00,3,11,46.8,Cloudy,2,0,3
2025-01-01 03:00:00,4,11,,Cloudy,2,0,3
2025-01-01 04:00:00,1,20,56.2,Cloudy,2,0,4
2025-01-01 04:00:00,2,17,47.9,Cloudy,2,0,4
2025-01-01 04:00:00,3,13,58.5,Cloudy,2,0,4
2025-01-01 04:00:00,4,,44.4,Cloudy,2,0,4
2025-01-01 05:00:00,1,22,45.1,Cloudy,2,0,5
2025-01-01 05:00:00,2,15,51.5,Cloudy,2,0,5
2025-01-01 05:00:00,3,12,51.3,Cloudy,2,0,5
2025-01-01 05:00:00,4,18,47.0,Cloudy,2,0,5
2025-01-01 06:00:00,1,41,43.8,Cloudy,2,0,6
2025-01-01 06:00:00,2,35,46.6,Cloudy,2,0,6
2025-01-01 06:00:00,3,27,53.8,Cloudy,2,0,6
2025-01-01 06:00:00,4,25,48.9,Cloudy,2,0,6
2025-01-01 07:00:00,1,46,41.1,Cloudy,2,0,7
2025-01-01 07:00:00,2,39,50.2,Cloudy,2,0,7
2025-01-01 07:00:00,3,41,45.0,Cloudy,2,0,7
2025-01-01 07:00:00,4,83,31.1,Cloudy,2,0,7
2025-01-01 08:00:00,1,99,19.7,Cloudy,2,0,8
2025-01-01 08:00:00,2,83,33.7,Cloudy,2,0,8
2025-01-01 08:00:00,3,59,32.0,Cloudy,2,0,8
2025-01-01 08:00:00,4,74,26.8,Cloudy,2,0,8
2025-01-01 09:00:00,1,151,5,Cloudy,2,0,9
2025-01-01 09:00:00,2,135,12.5,Cloudy,2,0,9
2025-01-01 09:00:00,3,83,22.6,Cloudy,2,0,9
2025-01-01 09:00:00,4,104,21.8,Cloudy,2,0,9
2025-01-01 10:00:00,1,167,5,Cloudy,2,0,10
2025-01-01 10:00:00,2,105,10.5,Cloudy,2,0,10
2025-01-01 10:00:00,3,51,,Cloudy,2,0,10
